ID,Stratum,landcover,alertstrata,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS,GlobalForestChangeYear(Hansen2013)
141,4,1,4,110.5466791,23.89655754,49,453855.1394,2642848.044,8462,205239,453855,2642835,49QDG,0
142,2,1,2,118.4324085,33.76016578,50,632655.7417,3736485.767,14422,158784,632655,3736485,50SPC,0
143,2,1,2,-114.1573599,42.60127267,11,733199.6147,4720455.803,17773,135985,733185,4720455,11TQH,0
144,5,1,5,120.0346821,36.10410541,51,233057.9264,3999567.892,1102,143349,233055,3999555,51STV,0
145,2,1,2,46.52587762,33.40322125,38,641895.8877,3697029.886,14730,180099,641895,3697035,38SPC,0
146,5,1,5,1.954524367,50.44126601,31,425762.6165,5588216.759,7526,110394,425775,5588205,31UDR,0
147,3,1,3,10.00481334,54.53369998,32,565018.615,6043368.389,12167,51888,565005,6043365,32UNF,0
148,5,1,5,-51.29213923,-20.12493318,22,469464.7897,-2225333.296,8982,384177,469455,-2225325,22KDC,0
149,3,1,3,-98.55463742,38.30006953,14,538941.8714,4239203.014,11298,162027,538935,4239195,14SNH,0
150,4,1,4,-86.15064339,34.18165324,16,578269.9507,3782623.574,12609,183912,578265,3782625,16SEC,0
151,4,1,4,-76.67341629,45.46510235,18,369180.8728,5035981.454,5640,142133,369195,5035995,18TUR,0
152,2,1,2,40.44780383,-14.38514511,37,656100.2214,-1590812.183,15204,353027,656115,-1590825,37LFE,0
153,4,1,4,35.28803772,9.854591511,36,750932.5548,1090193.539,18365,226994,750945,1090185,36PYR,0
154,4,1,4,-123.2611357,45.22675808,10,479499.8536,5008174.015,5983,123060,479505,5008185,10TDR,0
155,3,1,3,120.4092088,16.05822403,51,222807.0345,1777110.214,760,217430,222795,1777125,51PTT,0
156,2,1,2,-105.0158957,42.06569633,13,498684.9119,4657070.577,9956,144764,498675,4657065,13TDG,0
157,4,1,4,69.0524157,39.8456587,42,504484.2454,4410628.387,10150,156313,504495,4410615,42TWK,0
158,4,1,4,-97.88594026,28.19350658,14,609344.709,3119140.668,13645,199362,609345,3119145,14RPS,0
159,5,1,5,94.2062048,27.85961002,46,618755.4248,3082235.018,13959,200592,618765,3082245,46RFR,0
160,4,1,4,127.3426804,-17.95489269,52,324487.2942,-1985977.723,4150,339533,324495,-1985985,52KCF,0
161,5,1,5,-70.72377991,46.56545076,19,367890.9748,5158319.376,5597,138056,367905,5158305,19TCM,0
162,5,1,5,18.98871518,53.45146582,34,366442.0715,5924377.826,5548,69188,366435,5924385,34UCE,0
163,5,1,5,2.081449281,41.59192757,31,423443.3304,4604877.41,7448,143172,423435,4604865,31TDG,0
164,2,1,2,100.5363538,25.43892911,47,654489.4787,2814441.038,15150,209519,654495,2814435,47RPJ,0
165,4,1,4,-91.55487672,16.43581679,15,654290.2475,1817694.605,15143,246078,654285,1817685,15QXU,10
166,3,1,3,-84.32350529,34.03371071,16,747104.6386,3769125.413,18237,184362,747105,3769125,16SGC,0
167,3,1,3,30.49545438,31.13062739,36,261191.7806,3446778.36,2040,148441,261195,3446775,36RTV,0
168,5,1,5,111.5734517,29.8143233,49,555411.2296,3298349.031,11847,183389,555405,3298335,49REP,0
169,3,1,3,79.99485221,14.48844752,44,391681.6003,1601984.999,6390,246600,391695,1601985,44PLB,0
170,2,1,2,31.67098591,40.0888745,36,386701.2116,4438467.774,6224,115385,386715,4438455,36TUK,0
171,5,1,5,-57.56311265,-15.58151244,21,439627.0534,-1722725.2,7988,367424,439635,-1722735,21LVC,20
172,1,1,1,71.5597026,32.94685073,42,739292.778,3648303.074,17977,181723,739305,3648315,42SYB,0
173,4,1,4,80.82058524,6.192951193,44,480151.3314,684537.24,9339,277182,480165,684525,44NMM,0
174,3,1,3,115.3030441,36.69285748,50,348400.0037,4062142.607,4947,147929,348405,4062135,50SLF,0
175,5,1,5,10.86923954,49.42057297,32,635562.3715,5475890.378,14519,70804,635565,5475885,32UPV,0
176,2,1,2,128.8922737,36.9019236,52,490402.6387,4083997.944,9680,137200,490395,4084005,52SDF,0
177,2,1,2,-97.79072054,32.74172216,14,613297.353,3623301.544,13777,182557,613305,3623295,14SPB,0
178,5,1,5,136.0630764,35.13911604,53,596844.8986,3888987.826,13228,153701,596835,3888975,53SNU,0
179,3,1,3,111.0804636,-6.771743475,49,508891.5434,-748516.7554,10297,318284,508905,-748515,49MEN,0
180,4,1,4,-90.749059,33.79918184,15,708377.9943,3742167.709,16946,181929,708375,3742155,15SYT,0
181,5,1,5,-81.68560526,41.27178349,17,442576.87,4569154.954,8086,157694,442575,4569165,17TMF,0
182,5,1,5,115.160325,23.62386465,50,312322.8169,2613791.823,3744,196207,312315,2613795,50QLM,0
183,5,1,5,87.65134097,24.00113739,45,566248.969,2654505.635,12208,214850,566235,2654505,45QWG,0
184,3,1,3,99.53189543,12.61072613,47,557768.793,1394146.573,11926,256862,557775,1394145,47PNQ,0
185,2,1,2,120.2065159,30.5330836,51,231974.8057,3381178.818,1066,163962,231975,3381165,51RTP,0
186,5,1,5,100.9974348,16.57558219,47,713122.5551,1833664.89,17104,242211,713115,1833675,47QQU,0
187,2,1,2,140.9358331,37.67480701,54,494341.5322,4169737.117,9812,144342,494355,4169745,54SVG,0
188,5,1,5,-98.04377369,27.16971131,14,594731.9187,3005593.547,13158,203147,594735,3005595,14RNR,0
189,5,1,5,35.41322983,0.907382533,36,768578.5277,100382.7287,18953,259987,768585,100395,36NYG,0
190,5,1,5,-4.60246877,48.47819649,30,381573.7605,5370692.076,6053,54310,381585,5370705,30UUU,0
